,datetime,city,state,shape,comment
130,12/6/20 16:15,Signal Hill,CA,Light,"I was walking my dog in Signal Hill, Ca. which is a small city atop a hill which overlooks the City of Long Beach, Ca.  From my vantage point, I could see into the ocean and I was looking in a  S/W direction.  At that time, I observed an extremely bright white light, a bit lower than normal aircraft altitude (maybe 4000’) and not adhering to what would be the the normal LAX or LBC flight path, which caught my attention.  The light was over the ocean, appeared to flicker in intensity, much brighter than a star and the sun was still out at the time, but nearing sunset.  It was possibly off the coast of Huntington Beach, Ca.  As I watched, the object appeared to be completely motionless for about 6 minutes, then the light slowly dimmed and went out over the course of about 4 seconds.  At that point, I could no longer see anything in the area.  I don’t know how long it had been there before I saw it.  Just looked up and there it was."
131,12/6/20 11:53,Fort Collins,CO,Fireball,"At 11:53 pm Sunday December 6th my husband was standing outside our hotel room in Fort Collins Colorado facing east. When my husband saw a Large orange fireball he alerted me as I looked. I also saw an extremely large Fireball, about the size of our 1998 Chevy Tahoe. It was traveling very fast from south to north in direction then appeared to fall to the ground. Th"
132,12/6/20 06:24,Bozeman,MT,Formation,20 objects in a straight line broke off figure eights separate directions
133,12/6/20 06:24,Bozeman,MT,Formation,20 objects in a straight line broke off figure eights separate directions
134,12/6/20 00:25,Mt. Vernon,IN,<br/>,MADAR Node 119
135,12/5/20 23:47,Grand Junction,CO,<br/>,MADAR Node 75
136,12/5/20 22:30,Tucson,AZ,Circle,Glowing balls
137,12/5/20 22:30,Tucson,AZ,Circle,Glowing balls
138,12/5/20 22:02,Kingman,AZ,Cigar,"2 red orbs , followed by i bright orange,creeping across sky,evenly spaced"
139,12/5/20 22:00,Aguanga,CA,Triangle,"These 3 triangular shaped , slow moving, stealth like objects use engines to fly."
140,12/5/20 21:10,Breckenridge,TX,Circle,"Orange Orbs over Breckenridge, TX"
141,12/5/20 20:30,Tallahassee,FL,Light,I was walking out to my truck after dark around 8:30 pm to leave after having dinner with my aunt and uncle. I stopped and looked up to the sky for some reason when I unlocked my vehicle door. I saw what I believed to be a satellite moving slowly across the sky. It was simply just a dot of light far away. Then the object moved quickly downward and I knew it wasn’t a satellite. I gazed in awe as another bright light quickly moved towards it. They were moving very unnaturally. I stared for about one minute before the tree line obstructed my view.
142,12/5/20 19:30,Turnpike near Bristol township,PA,Triangle,Big triangle takes off at the speed of light.
143,12/5/20 19:10,Fairfield,ID,Formation,"25 ufo's over Fairfield, ID"
144,12/5/20 19:03,Huron,SD,Formation,Line of moving lights in sky
145,12/5/20 19:03,Huron,SD,Formation,Line of moving lights in sky
146,12/5/20 19:03,Huron,SD,Formation,Line of moving lights in sky
147,12/5/20 19:00,santa fe,NM,Formation,I was walking home and through the sky I noticed a diagonal stream of twenty or more slow moving orange-ish lights blinking quickly in a sequence of farthest down to highest up as they descended west and eventually over the horizon. Occasionally they would seem to blur together and flash brighter. I don't know how long they were there before I saw them. Another man from my neighborhood came out into the street to get a closer look.
148,12/5/20 19:00,Whitewater,WI,Formation,Straight linear formation of about 100 solid lights that went out one by one
149,12/5/20 19:00,Silt,CO,Formation,"After sunset, looking to the West towards Grand Junction, CO we observed a row of lights, perfectly spaced apart, climbing from just above the horizon, and the disappearing.  These lights were rather slow moving.  Their brightness did not change and they did not flash or twinkle.  They were quite a distance from our location, so size of each craft is unknown.  They ascended from just above horizon, climbing at an approximately 45 degree angle towards the North."
150,12/5/20 18:55,Leland,NC,Formation,"Two Bright Dots, moved simultaneously and faded"
151,12/5/20 18:45,Beaconsfield,QC,Formation,8 lights in formation moving synchronously.
152,12/5/20 18:33,Naubinway,MI,<br/>,Forty “Stars” In A Straight Line As They Headed Towards Mars from West to East
153,12/5/20 18:30,Columbia city,IN,Sphere,It was a trail of lights in a vertical line.
